Latitude,Longitude
33.741111,68.313333
33.255,68.469444
36.383333,66.15
34.886944,69.832802
36.893889,66.701389
31.79281,67.869493
33.084221,68.287468
32.827844,68.562173
32.880524,66.06917
33.555168,67.264431
34.896763,69.634621
32.595158,68.03804
34.803387,69.354225
31.862841,64.668143
36.114341,70.017833
31.679665,65.603293
35.255859,66.158914
32.846347,67.282415
35.04034,63.047638
34.884457,69.657845
31.859124,67.627615
37.513621,70.446588
32.109824,67.122629
32.31809,65.593675
34.680008,70.159683
34.269173,70.277702
35.279586,71.362318
35.175262,70.209091
31.552168,67.200625
30.959171,66.328329
33.097778,66.769722
36.716728,66.81113
33.645728,62.269587
33.029266,68.28846
36.091667,66.064167
33.441944,68.3
33.251667,68.388056
31.691389,67.5775
32.551787,65.392415
34.856255,71.061356
34.839199,71.248758
36.776924,69.164787
34.049938,67.335948
34.027714,67.391098
37.15692,68.852166
32.194424,64.055773
36.661724,69.350952
37.203569,70.424943
34.772761,61.950271
33.12025,69.485515
30.977229,66.259397
32.827377,67.843071
34.113056,68.508056
33.662647,69.331421
33.18853,69.550942
35.625608,68.688642
36.695523,69.585665
34.959637,69.618553
36.116667,66.25
31.947268,64.884165
35.913097,64.786583
36.531456,65.798271
37.020386,71.026
34.537137,69.110065
34.529148,69.111862
35.770108,71.354704
35.086212,69.340222
37.170092,69.081361
32.637001,62.002159
32.633333,61.983333
34.494723,66.516504
34.884187,62.095591
36.456565,65.808802
32.320622,65.009054
34.829546,62.522604
34.198243,67.948539
32.735677,66.216328
34.355,67.4575
32.673821,69.126244
31.784454,66.910325
31.970721,66.175088
31.57672,64.85242
37.159471,69.768225
34.684426,69.058001
34.678621,69.026918
34.200108,70.278061
36.561111,66.645833
30.870833,66.256111
33.4575,68.187778
34.119722,68.739167
32.531769,65.371851
32.385745,66.787338
35.421729,71.367068
35.71918,69.35821
36.921962,66.176468
33.607917,63.400298
34.8931,69.098359
32.929594,67.526546
35.218502,69.215435
32.93376,67.520948
34.654819,68.240151
31.849925,66.339132
33.589553,64.265989
35.209392,63.858467
35.264925,61.315015
31.196111,61.8375
32.869354,67.4986
31.913836,66.553239
33.844722,66.582222
33.317352,67.483176
33.228382,67.456809
33.604216,66.932241
33.479596,65.16653
36.323556,66.916534
31.977318,64.893861
36.459259,70.297724
35.019545,69.282966
34.543488,70.238411
38.062253,70.465925
34.300709,70.408142
36.063576,68.935677
35.406016,71.316466
35.149932,71.310522
33.065186,68.325089
38.150824,71.281711
34.37051,68.125574
33.834038,63.232806
35.607414,68.699128
34.428889,68.816667
33.788592,66.335354
34.502222,68.638333
35.614102,69.491801
34.184766,66.611619
33.176013,67.09814
34.470566,65.063843
32.698435,64.947691
34.361528,69.201966
35.066143,69.601822
34.259035,67.972604
35.484268,67.154376
34.987222,71.411389
35.099725,69.047486
33.776166,66.094097
33.640191,68.079468
36.70471,69.52811
34.08731,67.923942
34.511545,69.186938
34.158889,66.981667
32.756811,66.652332
34.680737,70.831192
34.676041,70.936157
33.099128,67.287612
36.678179,66.803254
34.43218,70.576705
35.698434,69.316068
34.520025,68.236429
35.524776,68.092914
34.034236,66.39809
33.819866,68.949446
34.426983,66.164474
32.432434,63.751339
34.244846,62.417324
36.898056,66.633333
32.524154,68.317229
33.948056,68.893611
32.682358,67.741962
34.605339,70.608788
33.36985,69.332153
35.915177,71.30169
37.571165,70.559172
31.86533,61.57756
32.080793,68.863312
34.308291,62.072488
34.253353,70.320518
31.533681,64.993209
34.431944,68.820833
34.425614,69.198347
32.588711,67.56418
31.862799,66.796038
32.14,67.496389
31.1876,61.8561
31.50503,65.3075
33.395,68.459722
34.816049,71.000932
34.143833,69.209775
32.767704,67.778923
33.715,68.224444
34.34,69.160833
34.217447,70.164618
34.035278,68.5325
34.218528,68.302545
32.481494,68.117803
33.840296,69.646939
34.000486,69.856699
32.296473,64.775097
33.953889,69.333056
31.97937,67.051221
32.05799,64.846474
34.196111,69.091667
34.285,69.137222
34.423786,70.342827
